Index,attribute,Name,trading_symbol,Weightage (%)
FINNIFTY,NSE_EQ,Cholamandalam Investment and Finance,CHOLAFIN,0.0203
Nifty50,NSE_EQ,Cipla Ltd,CIPLA,0.0078
Nifty50,NSE_EQ,Coal India Ltd,COALINDIA,0.0086
Nifty Midcap Select,NSE_EQ,Coforge Ltd.,COFORGE,0.0379
Nifty Midcap Select,NSE_EQ,Container Corporation of India Ltd.,CONCOR,0.0367
Nifty Midcap Select,NSE_EQ,Cummins India Ltd.,CUMMINSIND,0.0601
Nifty50,NSE_EQ,Dr Reddy's Laboratories Ltd,DRREDDY,0.0074
Nifty50,NSE_EQ,Eicher Motors Ltd,EICHERMOT,0.0065
BankNifty,NSE_EQ,Federal Bank Ltd.,FEDERALBNK,0.0348
Nifty Midcap Select,NSE_EQ,Federal Bank Ltd.,FEDERALBNK,0.0453
Nifty Midcap Select,NSE_EQ,Godrej Properties Ltd.,GODREJPROP,0.0395
Nifty50,NSE_EQ,Grasim Industries Ltd,GRASIM,0.0086
SENSEX,BSE_EQ,HCL Tech,HCLTECH,0.0226
Nifty50,NSE_EQ,HCL Technologies Ltd,HCLTECH,0.0183
FINNIFTY,NSE_EQ,HDFC Asset Management,HDFCAMC,0.0254
Nifty Midcap Select,NSE_EQ,HDFC Asset Management Company Ltd.,HDFCAMC,0.0486
FINNIFTY,NSE_EQ,HDFC Bank Ltd.,HDFCBANK,0.2513
SENSEX,BSE_EQ,HDFC Bank Ltd.,HDFCBANK,0.1453
Nifty50,NSE_EQ,HDFC Bank Ltd.,HDFCBANK,0.1208
BANKEX,BSE_EQ,HDFC Bank Ltd.,HDFCBANK,0.3229
BankNifty,NSE_EQ,HDFC Bank Ltd.,HDFCBANK,0.2811
